seq,code,name,eps,revenue,rev_yoy,rev_qoq,net_profit,profit_yoy,profit_qoq,bps,roe,cps,gross_margin,industry,pub_date,report_date
144,001317,三羊马,-0.16,598353226.81,14.203806013,-1.8556,-12999601.84,-226.66,-584.2189,9.829709983536,-1.53,0.24616147652,6.9857825992,铁路公路,2026-04-24,20250630
145,000530,冰山冷热,0.09,2380320781.91,-0.5557796414,5.5271,78290437.78,1.29,66.6736,3.759152832893,2.52,-0.001224500884,16.4160501496,通用设备,2026-04-24,20250630
146,838522,大力人良,-0.11,2227767.27,-59.7934572295,,-896968.67,97.31,,-0.09136524875,,-0.02552107375,10.5088104647,,2026-04-23,20250630
147,603569,长久物流,0.02,1758563527.41,-1.9993800146,-2.7984,10168794.87,-80.66,55.3523,4.92159799916,0.34,0.364730061561,11.0022457201,物流,2026-04-23,20250630
148,603169,兰石重装,0.003,2834028835.21,13.7049537966,1.2314,3936996.83,-21.91,212.874,2.528672310396,1.59,-0.059407039567,10.695215788,专用设备,2026-04-23,20250630
149,874805,森宇股份,0.65,273705585.16,,,36690408.61,,,16.239714320784,4.1,3.197411554632,37.0360561443,,2026-04-22,20250630
150,839561,永裕股份,0.04,86903788.2,13.5860295322,,1916267.0,88.28,,1.194964959326,1.81,-0.401023957079,14.8250777979,,2026-04-22,20250630
151,839472,亮威科技,0.67,23154297.91,4.6829118606,,3361797.68,-13.13,,4.19902122,15.41,1.662714204,,,2026-04-22,20250630
152,688719,爱科赛博,-0.15,447216252.04,12.1500651414,151.1223,-17041003.06,-152.34,116.4922,14.799716261114,-0.97,-0.44702698386,29.6575626433,其他电源设备Ⅱ,2026-04-22,20250630
153,605336,*ST帅电,0.02,120466831.25,-48.3909902991,46.0988,3297911.48,-91.8,455.9805,10.192236293665,0.17,-0.213093848973,39.1361163656,厨卫电器,2026-04-22,20250630
154,603813,原尚股份,-0.26,168585924.8,2.8699168117,7.8338,-27304634.8,-52.7497225737,13.7866,5.320423984193,-4.74,0.357270397848,9.5989564782,物流,2026-04-22,20250630
155,600810,神马股份,-0.13,6607345499.04,-6.9192321453,4.2434,-128153529.79,-293.32,25.1813,6.595541946736,-1.81,0.581590313481,7.5326716035,化学纤维,2026-04-22,20250630
156,300377,赢时胜,,578073215.57,-7.8390546438,20.1737,-80550703.31,-46.22,84.4702,3.220337973314,-3.14,-0.362223422532,34.5656324282,软件开发,2026-04-21,20250630
