date,equity,positions,cash
20220908,19000933.99,5,8310233.70
20220909,18965692.70,5,8311058.13
20220913,18886951.82,5,8311882.64
20220914,18861388.32,5,8312707.23
20220915,18507231.64,5,8313531.91
20220916,18394646.45,5,8314356.66
20220919,18343576.41,4,10039453.01
20220920,18262216.37,4,10040448.99
20220921,18097477.51,4,10041445.07
20220922,18240324.00,4,10042441.24
20220923,18014856.95,4,10043437.52
20220926,18296591.11,4,10044433.89
20220927,18344565.74,4,10045430.36
20220928,18186003.99,5,8046228.52
20220929,18186053.73,5,8047026.76
20220930,17841879.32,5,8047825.07
20221010,17019049.75,5,7167358.23
20221011,17225994.21,5,7168069.27
20221012,17490676.83,5,7168780.39
20221013,17535246.30,5,7169491.58
20221014,17733948.42,5,7170202.84
20221017,17796300.89,5,7170914.17
20221018,18080483.60,5,7171625.57
20221019,17910118.48,5,7172337.04
20221020,17750310.95,5,7173048.58
20221021,17939119.02,5,7173760.19
20221024,17823269.44,5,7174471.88
20221025,17789227.18,5,7175183.63
20221027,17603985.50,5,7175895.45
20221028,17269195.02,5,7176607.35
20221031,17199547.64,5,6743822.80
20221101,17424890.50,5,6744491.83
20221102,17397704.21,5,6745160.93
20221103,17405250.89,5,6640379.51
20221104,17413727.76,5,6641038.28
20221107,17099878.91,5,6641697.11
20221108,16952909.80,5,6642356.01
20221109,16869414.29,5,6311523.99
20221110,16704777.35,5,6312150.13
20221111,16905521.55,5,6312776.34
20221114,16952571.36,5,6313402.61
20221115,17206918.92,5,6314028.94
20221116,17134120.34,5,6314655.33
20221117,17196416.87,5,6315281.78
20221118,16987437.80,5,6315908.30
20221121,17109511.96,5,6316534.88
20221122,17003354.09,5,6317161.52
20221123,17104473.67,5,6317788.22
20221124,17142102.41,5,6318414.98
20221125,16999697.53,5,6319041.81
20221128,16883197.07,5,6319668.70
20221129,16994156.11,5,6320295.65
20221130,16870748.74,5,6320922.66
20221201,17028319.55,5,6321549.74
20221202,17075832.65,5,6322176.88
20221205,17120653.91,5,6322804.08
20221206,17101920.21,5,6323431.34
20221207,17084106.80,5,6324058.66
20221208,17048721.08,5,6324686.05
20221209,16993837.30,5,6325313.50
20221212,17001360.86,5,6325941.01
20221213,16796937.12,5,6326568.59
20221214,16745104.90,5,6327196.22
20221215,16750339.56,5,6327823.92
20221216,16494112.40,5,6206258.73
20221219,16221575.36,5,6206874.43
20221220,16146638.35,5,6207490.19
20221221,16098375.82,5,6208106.01
20221222,15997420.46,5,6208721.90
20221223,15875349.78,5,6209337.84
20221226,15975559.25,5,6209953.85
20221227,16088728.65,5,6210569.92
20221228,15989557.63,5,6211186.04
20221229,16010229.00,5,6211802.23
20221230,16095654.09,5,6212418.48
20230103,16335168.40,5,6213034.79
20230104,16431115.11,5,6213651.17
20230105,16540621.27,5,6214267.60
20230106,16468629.37,5,6214884.09
20230109,16729351.31,5,6215500.65
20230110,16760626.39,5,6216117.27
20230111,16649310.33,5,6216733.95
20230112,16630954.33,5,6217350.69
20230113,16672575.18,5,6217967.49
20230116,16931828.05,5,6218584.35
20230117,16850880.36,5,6219201.27
20230118,16815566.19,5,6219818.26
20230119,17052506.49,5,6220435.30
20230120,17214234.09,5,6221052.41
20230130,17004280.87,5,6221669.58
20230131,16758534.55,5,5886395.01
20230201,17030243.74,5,5886978.98
20230202,17056621.87,5,5887563.00
20230203,17080455.31,5,5888147.09
20230206,17015535.80,5,5888731.23
20230207,17188707.94,5,5889315.43
20230216,17615849.53,5,5889899.69
20230217,17447409.97,5,5890484.00
20230220,17852426.68,5,5891068.37
20230221,17985405.81,5,5891652.81
20230222,17885918.53,5,5892237.30
20230223,17789658.76,5,5892821.84
20230224,17772883.09,5,5893406.45
20230227,17523448.81,5,5893991.11
20230228,17625824.13,5,5894575.83
20230301,18025307.64,5,5895160.61
20230302,17899586.75,5,5895745.45
20230303,17912043.29,5,5896330.34
20230306,17820113.40,5,5896915.30
20230307,17426925.49,5,5897500.31
20230308,17446139.37,5,5898085.38
20230309,17470616.48,5,5898670.51
20230310,17267084.26,5,5502704.68
20230313,17441343.59,5,5503250.58
20230314,17373594.62,5,5503796.54
20230315,17222356.33,5,5504342.55
20230316,17028601.11,5,5504888.62
20230317,17154631.85,5,5505434.74
20230320,17463799.65,5,5505980.91
