date,equity,positions,cash
20220801,20373119.71,5,9647317.03
20220802,20561175.96,5,9648274.10
20220803,20890644.23,5,9649231.27
20220804,21132691.05,5,9650188.54
20220805,21692202.69,5,9651145.90
20220808,21689260.29,5,9652103.35
20220809,22146904.10,5,9653060.90
20220810,22250024.93,5,9654018.55
20220811,22301982.04,5,9654976.29
20220812,21839657.01,5,9655934.12
20220815,22035000.35,5,9656892.05
20220816,21966047.66,5,9657850.08
20220817,22096441.02,5,11013808.67
20220818,22036725.63,5,11014901.31
20220819,21822191.15,5,11015994.05
20220822,21901404.19,5,11017086.91
20220823,21842279.01,5,11018179.88
20220824,21377824.45,5,11019272.95
20220825,21401573.97,5,11020366.13
20220826,21301124.70,5,11021459.42
20220829,21292765.07,5,11022552.82
20220830,21267409.17,5,11023646.33
20220831,20959713.23,5,11024739.94
20220901,20860576.10,5,11025833.67
20220902,21076562.68,5,11026927.50
20220905,21038175.82,5,11028021.44
20220906,21192208.55,5,11029115.49
20220907,21531709.56,5,11030209.65
20220908,21355524.07,5,11031303.92
20220909,21282963.77,5,11032398.29
20220913,21263532.20,5,11033492.77
20220914,21097325.68,5,11034587.37
20220915,20787529.96,4,12956256.50
20220916,20652746.81,4,12767963.92
20220919,20549110.25,4,12769230.58
20220920,20711363.08,4,12770497.37
20220921,20606208.56,4,12771764.29
20220922,20565072.55,4,12773031.33
20220923,20479062.61,4,12774298.49
20220926,20367240.15,4,12775565.78
20220927,20389983.84,4,12776833.20
20220928,20249430.20,4,12778100.74
20220929,20375931.52,4,12779368.41
20220930,20328062.59,4,12780636.21
20221010,20120149.82,4,12781904.13
20221011,20212641.40,4,12783172.17
20221012,20530143.76,4,12784440.34
20221013,20438406.81,4,12785708.64
20221014,20540027.58,4,12786977.07
20221017,20542334.92,4,12788245.62
20221018,20538877.60,4,12789514.29
20221019,20482216.77,4,12790783.09
20221020,20404620.08,4,12792052.02
20221021,20457401.16,4,12793321.07
20221024,20365915.00,5,10398309.72
20221025,20383805.12,5,10399341.30
20221027,21257000.30,5,10400372.98
20221028,20992566.35,5,10401404.76
20221031,21427661.14,5,10402436.64
20221101,21644678.24,5,10403468.63
20221102,21683586.24,5,10404500.72
20221103,21906594.88,5,10405532.91
20221104,22066555.38,5,10406565.21
20221107,21942655.98,5,10407597.61
