date,equity,cash,positions
20240708,17843905.01,11016898.08,2
20240709,18427718.65,11017991.03,2
20240710,18842254.56,7685420.06,3
20240711,18822855.02,7686182.51,3
20240712,18768467.05,7686945.03,3
20240715,18914394.14,7687707.62,3
20240716,19293852.39,7773219.18,3
20240717,18754832.26,7773990.33,3
20240718,18531557.95,8555433.83,3
20240719,18459068.64,8556282.59,3
20240722,18419241.49,8557131.42,3
20240723,17563807.71,10918737.52,2
20240724,17518511.51,14213874.50,1
20240725,17485752.55,14215284.61,1
20240726,17508315.08,14216694.85,1
20240729,17555284.22,14218105.24,1
20240730,17726173.75,10885851.74,2
20240731,17724599.35,7553267.67,3
20240801,17934917.51,7554017.00,3
20240802,17437588.58,7224259.28,3
20240805,16772736.58,6615441.17,3
20240806,16674583.44,10046467.10,2
20240807,16600011.03,10047463.77,2
20240808,16621978.31,10048460.55,2
20240809,16463802.11,13141267.01,1
20240812,16395143.26,13142570.71,1
20240813,16301483.05,6476546.49,3
20240814,16126092.75,9611275.01,2
20240815,16106347.35,9612228.51,2
20240816,16325292.53,6279518.08,3
20240819,16618228.10,6280141.05,3
20240820,16200209.10,6135060.39,3
20240821,16583992.05,6135669.03,3
20240822,16405002.56,6136277.72,3
20240823,16213586.45,9339676.70,2
20240826,16164087.05,12698564.56,1
20240827,15958144.20,15958144.20,0
20240828,15959727.35,15959727.35,0
20240829,15961310.66,15961310.66,0
20240830,15962894.12,15962894.12,0
20240902,15931090.96,5963485.68,3
20240903,16193171.30,5964077.30,3
20240904,16170953.91,5964668.97,3
20240905,16360953.73,5965260.70,3
20240906,16193730.52,5965852.49,3
20240909,16172476.31,5966444.35,3
20240910,16144003.24,5945206.18,3
20240911,16277366.25,9260519.21,2
20240912,16084492.68,5927773.89,3
20240913,16239537.93,6056139.09,3
20240918,16251321.45,6056739.90,3
20240919,16090880.38,6057340.77,3
20240920,16184099.64,6057941.69,3
20240923,16138805.80,6058542.68,3
20240924,16846028.06,6059143.73,3
20240925,17273892.76,6059744.83,3
20240926,17729522.14,6060346.00,3
20240927,18222121.17,6060947.22,3
20240930,20042577.67,6061548.51,3
20241008,22299890.46,6062149.85,3
20241009,21982855.47,7861617.42,3
20241010,21723954.43,7862397.34,3
20241011,21035469.77,8205493.67,3
20241014,22463277.12,8206307.71,3
20241015,22099648.30,8207121.83,3
20241016,21197063.21,11305419.23,3
20241017,21200530.09,17816861.04,1
20241018,21856986.61,11151300.54,3
20241021,22650626.22,11152406.82,3
20241022,22884410.80,11153513.21,3
20241023,23146002.79,11154619.71,3
20241024,23240371.39,11155726.32,3
20241025,23090602.46,11156833.04,3
20241028,23144331.06,10853194.70,3
20241029,22865774.93,10854271.40,3
20241030,23058225.78,10855348.21,3
20241031,22874744.65,10856425.13,3
20241101,22098070.86,15453000.67,2
20241104,22174278.58,12120869.68,3
20241105,22805034.92,12122072.15,3
20241106,22847741.33,12123274.74,3
20241107,22849168.95,12124477.44,3
20241108,22584119.16,12012892.90,3
20241111,23052359.87,12014084.66,3
20241112,22884236.77,12015276.53,3
20241113,22777607.04,12016468.52,3
20241114,22404123.39,12067808.26,3
20241115,21622664.13,15193144.51,2
20241118,21305068.92,21305068.92,0
20241119,21307182.52,21307182.52,0
20241120,21309296.33,21309296.33,0
20241121,21311410.34,21311410.34,0
20241122,21291266.72,14646196.53,2
20241125,21200958.97,14426344.13,2
20241126,20919600.60,20919600.60,0
20241127,20921675.96,20921675.96,0
20241128,20923751.52,20923751.52,0
20241129,20914698.36,17592163.27,1
20241202,20921146.90,17593908.52,1
20241203,20813287.75,10928325.91,3
20241204,20823571.36,10768244.41,3
20241205,20990380.97,10769312.69,3
20241206,21007591.23,10770381.07,3
20241209,21008935.78,10771449.56,3
20241210,20996595.16,10772518.16,3
20241211,20944207.31,10676246.08,3
20241212,20927599.23,10677305.23,3
20241213,20688524.22,10656513.12,3
20241216,20389597.94,10366096.99,3
20241217,20480481.92,10210670.67,3
20241218,20592217.04,10211683.64,3
20241219,20929873.13,10212696.70,3
20241220,21016620.73,10213709.86,3
20241223,20525656.89,10071100.52,3
20241224,20674219.37,10072099.64,3
