K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win
1.0,21,0.35,8,1,0.8,1.2887449187033213,1017.9588222469621,58.10597062610172,39.34417791433788,1.4768632541417683,446,53.81165919282511
2.0,10,0.22,5,1,0.8,1.2884399946377385,1784.2418723060227,75.53381339850912,43.0926947516559,1.7528217679078109,114,63.1578947368421
1.0,10,0.28,8,3,0.8,1.2873123457454763,1091.2117723432902,60.021608355500234,37.45287309947196,1.6025902257508373,440,52.27272727272727
1.0,10,0.15,8,1,0,1.286730160764714,861.5142636286341,53.64722895816774,34.518463893865245,1.5541603798801176,462,50.0
1.0,21,0.22,10,3,0,1.2864018603594745,879.4883441025576,54.18817451941926,37.179718272074844,1.457465979781757,551,53.72050816696915
1.0,21,0.22,10,3,0.8,1.2864018603594745,879.4883441025576,54.18817451941926,37.179718272074844,1.457465979781757,551,53.72050816696915
1.0,21,0.1,5,3,0,1.286233520171286,750.0863729296753,50.09769166651854,36.824341358027596,1.3604504471496106,310,47.41935483870968
1.0,21,0.1,5,3,0.8,1.286233520171286,750.0863729296753,50.09769166651854,36.824341358027596,1.3604504471496106,310,47.41935483870968
1.0,10,0.28,10,1,0.8,1.2854088070051992,979.3399964850856,57.05476511947769,38.25470239937544,1.4914444902441375,494,51.821862348178136
1.0,21,0.3,8,1,0,1.2846764878082175,1000.4282464206534,57.6324951040617,38.43337290224825,1.4995429948509762,450,53.55555555555556
1.0,21,0.3,8,1,0.8,1.2846764878082175,1000.4282464206534,57.6324951040617,38.43337290224825,1.4995429948509762,450,53.55555555555556
1.0,10,0.18,5,3,0.8,1.2837119492634785,1353.039369181957,66.17000602977615,32.79738461286951,2.017539105963084,300,52.33333333333333
2.0,10,0.22,5,3,0.8,1.2835671100577322,1755.6822200086592,75.02079996774104,43.0926947516559,1.7409168862631472,113,62.83185840707964
2.0,10,0.35,5,3,0,1.2834976701858525,1844.507691991617,76.36761558400022,41.08339174784461,1.8588439837858997,127,61.417322834645674
2.0,10,0.22,8,1,0,1.2834684775297416,1737.4902136436895,74.46900806776999,43.296063249236425,1.7199949020557506,134,61.19402985074627
2.0,10,0.22,10,1,0,1.2834684775297416,1737.4902136436895,74.46900806776999,43.296063249236425,1.7199949020557506,134,61.19402985074627
1.0,10,0.35,8,3,0.8,1.2829700416149314,1095.417617956426,60.128667833663265,37.607619195996016,1.5988427111085246,438,52.51141552511416
2.0,10,0.22,8,3,0,1.2828597149463492,1732.334771521404,74.37530849299203,43.296063249236425,1.7178307428286501,134,61.19402985074627
2.0,10,0.22,10,3,0,1.2828597149463492,1732.334771521404,74.37530849299203,43.296063249236425,1.7178307428286501,134,61.19402985074627
2.0,10,0.35,5,1,0,1.2818234794679633,1831.5097139966622,76.1415953880121,41.477217280524556,1.8357450277592287,129,61.240310077519375
1.0,14,0.28,10,3,0.8,1.2813097330201593,877.6444212193358,54.133052073387944,36.860187192382256,1.4686049148598845,537,52.7001862197393
1.0,21,0.1,8,1,0,1.2811425881070326,653.3480226119767,46.69585738116806,39.700689648541996,1.1761976377375845,485,46.597938144329895
1.0,21,0.1,8,1,0.8,1.2811425881070326,653.3480226119767,46.69585738116806,39.700689648541996,1.1761976377375845,485,46.597938144329895
1.0,21,0.1,5,1,0,1.2797334015415416,744.6400004203961,49.91473387756915,36.82434135802756,1.355482054445162,311,47.58842443729904
1.0,21,0.1,5,1,0.8,1.2797334015415416,744.6400004203961,49.91473387756915,36.82434135802756,1.355482054445162,311,47.58842443729904
1.0,10,0.18,10,1,0.8,1.2774878285252538,858.3201375730814,53.55024301993036,34.75125571006066,1.540958504254202,503,50.29821073558648
1.0,14,0.28,10,3,0,1.2764324352505485,866.693871523611,53.803948302639526,37.014303481253975,1.4535988318647879,541,52.31053604436229
1.0,10,0.18,5,1,0.8,1.2756732220204008,1302.9171475104204,65.0667844609035,28.444847573106674,2.287471722028886,299,51.17056856187291
1.0,10,0.18,8,1,0,1.272246796200585,889.232889436615,54.47809066813989,35.39962120233696,1.538945582404804,460,51.08695652173913
2.0,10,0.15,8,3,0.8,1.270961718606182,1573.6168660253923,71.59131508190104,36.21433950088944,1.9768775592370733,116,60.3448275862069
2.0,10,0.15,10,3,0.8,1.270961718606182,1573.6168660253923,71.59131508190104,36.21433950088944,1.9768775592370733,116,60.3448275862069
1.0,10,0.28,10,3,0,1.2707340086330596,926.6045889060113,55.56894144978764,37.256700130244965,1.4915153853005032,545,52.477064220183486
1.0,21,0.35,10,3,0,1.2700375431312456,913.459615050674,55.18897403815271,40.268774036889596,1.370515377190151,540,53.888888888888886
