date,equity,positions
2022-03-23,11407651.49,3
2022-03-24,11380562.03,3
2022-03-25,11110075.74,3
2022-03-28,10897715.93,2
2022-03-29,10805237.19,2
2022-03-30,10948164.38,2
2022-03-31,10840512.90,2
2022-04-01,10865987.38,2
2022-04-06,10695795.20,2
2022-04-07,10587261.16,2
2022-04-08,10545281.63,2
2022-04-11,10434982.48,1
2022-04-12,10464479.25,1
2022-04-13,10470623.83,3
2022-04-14,10448427.95,3
2022-04-15,10467120.60,3
2022-04-18,10724702.79,3
2022-04-19,10554076.98,3
2022-04-20,10262736.41,3
2022-04-21,10049329.10,3
2022-04-22,9895474.65,3
2022-04-25,9337251.26,0
2022-04-26,9337251.26,0
2022-04-27,9317663.60,3
2022-04-28,9251943.13,3
2022-04-29,9668101.30,3
2022-05-05,9684211.17,3
2022-05-06,9500353.94,3
2022-05-09,9494163.59,3
2022-05-10,9716487.96,3
2022-05-11,10035181.91,3
2022-05-12,10127995.68,3
2022-05-13,10140909.44,3
2022-05-16,9962677.54,2
2022-05-17,10079821.35,2
2022-05-18,10035201.37,2
2022-05-19,10130399.39,2
2022-05-20,10219919.52,2
2022-05-23,10211533.43,2
2022-05-24,10012975.42,2
2022-05-25,10028757.71,2
2022-05-26,10013703.83,2
2022-05-27,10041813.12,2
2022-05-30,10014857.79,3
2022-05-31,10285943.39,3
2022-06-01,10345374.37,3
2022-06-02,10648073.53,3
2022-06-06,11075184.65,3
2022-06-07,11040247.32,3
2022-06-08,11085300.87,3
2022-06-09,10771274.22,3
2022-06-10,10993045.05,3
2022-06-13,10898772.37,3
2022-06-14,10741186.56,2
2022-06-15,10730605.49,2
2022-06-16,10790739.13,2
2022-06-17,10952604.51,2
2022-06-20,11028271.57,2
2022-06-21,10961934.52,2
2022-06-22,10930967.28,2
2022-06-23,11064992.01,2
2022-06-24,11152615.67,2
2022-06-27,11174703.12,2
2022-06-28,11172028.70,3
2022-06-29,10917876.18,3
2022-06-30,11045617.91,3
2022-07-01,10949981.34,3
2022-07-04,11011621.10,3
2022-07-05,10965785.75,3
2022-07-06,10995831.46,3
2022-07-07,11145872.36,3
2022-07-08,11052853.33,3
2022-07-11,10876688.28,3
2022-07-12,10569542.16,2
2022-07-13,10591040.26,2
2022-07-14,10742489.21,2
2022-07-15,10638934.53,2
2022-07-18,10665001.68,2
2022-07-19,10566345.07,2
2022-07-20,10579543.15,2
2022-07-21,10556809.67,2
2022-07-22,10612470.08,2
2022-07-25,10569281.43,2
2022-07-26,10581664.47,3
2022-07-27,10651065.49,3
2022-07-28,10708123.03,3
2022-07-29,10542679.90,3
2022-08-01,10727156.22,3
2022-08-02,10632017.11,3
2022-08-03,10534449.57,3
2022-08-04,10610232.89,3
2022-08-05,10916117.19,3
2022-08-08,10871065.33,3
2022-08-09,10943650.12,2
2022-08-10,10899711.54,2
2022-08-11,10963448.28,2
2022-08-12,10923851.95,2
2022-08-15,10972345.31,2
2022-08-16,10968215.63,2
2022-08-17,10994471.49,2
2022-08-18,11019138.22,2
2022-08-19,10919823.49,2
2022-08-22,10928821.73,2
2022-08-23,10935691.84,3
2022-08-24,10555517.05,3
2022-08-25,10435705.79,3
2022-08-26,10349572.58,3
2022-08-29,10356603.13,3
2022-08-30,10317747.21,3
2022-08-31,10103388.77,3
2022-09-01,10067055.09,3
2022-09-02,10083191.33,3
2022-09-05,10076859.87,3
2022-09-06,10104740.20,2
2022-09-07,10145925.94,2
2022-09-08,10109829.46,2
2022-09-09,10113981.55,2
2022-09-13,10117798.50,2
2022-09-14,10017149.01,2
2022-09-15,9836138.86,2
2022-09-16,9802388.35,2
2022-09-19,9757720.80,2
2022-09-20,9790534.13,2
2022-09-21,9704772.93,3
2022-09-22,9721195.06,3
2022-09-23,9623610.50,3
2022-09-26,9655852.36,3
2022-09-27,9809257.22,3
