code,name,buy_date,sell_date,ret,exit,hold_days
603186,华正新材,20231129,20240117,-0.2319,trail,24
603986,兆易创新,20240112,20240205,-0.2526,trail,16
000657,中钨高新,20240112,20240205,-0.2486,trail,16
002371,北方华创,20240112,20240220,0.0931,rebalance,21
600584,长电科技,20240112,20240220,-0.0692,rebalance,21
600460,士兰微,20240220,20240327,0.0051,rebalance,21
603986,兆易创新,20240220,20240327,0.0017,rebalance,21
600111,北方稀土,20240220,20240327,0.0144,rebalance,21
002851,麦格米特,20240220,20240327,0.0132,rebalance,21
000977,浪潮信息,20240220,20240327,0.2015,rebalance,21
688008,澜起科技,20240327,20240429,0.1278,rebalance,21
600900,长江电力,20240327,20240429,0.0223,rebalance,21
601869,长飞光纤,20240327,20240429,0.0688,rebalance,21
601689,拓普集团,20240327,20240429,0.0678,rebalance,21
002384,东山精密,20240327,20240531,0.1337,rebalance,42
600030,中信证券,20240429,20240531,-0.0496,rebalance,21
688037,芯源微,20240429,20240531,-0.0482,rebalance,21
300620,光库科技,20240429,20240531,-0.1660,rebalance,21
603738,泰晶科技,20240429,20240531,-0.0287,rebalance,21
600276,恒瑞医药,20240531,20240702,-0.1233,rebalance,21
688012,中微公司,20240531,20240702,0.0589,rebalance,21
601600,中国铝业,20240531,20240702,-0.0568,rebalance,21
300666,江丰电子,20240531,20240702,-0.0107,rebalance,21
300054,鼎龙股份,20240531,20240731,-0.0475,rebalance,42
002384,东山精密,20240702,20240731,0.2080,rebalance,21
000657,中钨高新,20240702,20240731,-0.0565,rebalance,21
300373,扬杰科技,20240702,20240731,0.1436,rebalance,21
688008,澜起科技,20240702,20240731,0.0662,rebalance,21
688037,芯源微,20240731,20240829,-0.2003,rebalance,21
600030,中信证券,20240731,20240829,-0.0366,rebalance,21
603259,药明康德,20240731,20240829,-0.1038,rebalance,21
300757,罗博特科,20240731,20240829,-0.1767,rebalance,21
300666,江丰电子,20240731,20240829,-0.0722,rebalance,21
603186,华正新材,20240829,20241008,0.2798,rebalance,21
603738,泰晶科技,20240829,20241008,0.2431,rebalance,21
002466,天齐锂业,20240829,20241008,0.5037,rebalance,21
000657,中钨高新,20240829,20241008,0.3236,rebalance,21
300620,光库科技,20240829,20241008,0.5122,rebalance,21
600030,中信证券,20241008,20241106,0.0332,rebalance,21
601138,工业富联,20241008,20241106,-0.1381,rebalance,21
600584,长电科技,20241008,20241106,0.1139,rebalance,21
300757,罗博特科,20241008,20241106,0.4555,rebalance,21
601288,农业银行,20241008,20241106,-0.0047,rebalance,21
300620,光库科技,20241106,20241205,-0.0701,rebalance,21
000938,紫光股份,20241106,20241205,-0.0946,rebalance,21
000657,中钨高新,20241106,20241205,0.0125,rebalance,21
002851,麦格米特,20241106,20241205,-0.0494,rebalance,21
300475,香农芯创,20241106,20241205,-0.0796,rebalance,21
601869,长飞光纤,20250106,20250212,0.4253,rebalance,21
688008,澜起科技,20250106,20250212,0.1266,rebalance,21
000977,浪潮信息,20250106,20250212,0.3641,rebalance,21
600183,生益科技,20250106,20250212,0.3464,rebalance,21
688012,中微公司,20250212,20250401,-0.0599,rebalance,21
002384,东山精密,20250212,20250401,-0.0530,rebalance,21
600111,北方稀土,20250212,20250401,-0.0157,rebalance,21
603186,华正新材,20250212,20250401,-0.0081,rebalance,21
300620,光库科技,20250212,20250401,-0.0763,rebalance,21
300394,天孚通信,20250401,20250407,-0.2568,trail,3
300373,扬杰科技,20250401,20250506,0.0497,rebalance,21
300666,江丰电子,20250401,20250506,0.0312,rebalance,21
603186,华正新材,20250506,20250605,-0.0407,rebalance,21
300661,圣邦股份,20250506,20250605,-0.0458,rebalance,21
000657,中钨高新,20250605,20250704,0.0197,rebalance,21
300373,扬杰科技,20250605,20250704,0.0039,rebalance,21
002837,英维克,20250605,20250704,0.0868,rebalance,21
002460,赣锋锂业,20250704,20250822,0.1132,rebalance,21
601138,工业富联,20250704,20250822,0.9782,rebalance,21
601869,长飞光纤,20250704,20250822,0.5391,rebalance,21
600183,生益科技,20250822,20250922,0.2474,rebalance,21
300757,罗博特科,20250822,20250922,0.2612,rebalance,21
000977,浪潮信息,20250822,20250922,-0.0317,rebalance,21
600030,中信证券,20250822,20250922,-0.1069,rebalance,21
601899,紫金矿业,20250822,20250922,0.2262,rebalance,21
002460,赣锋锂业,20250922,20251029,0.2993,rebalance,21
300661,圣邦股份,20250922,20251029,-0.0855,rebalance,21
002050,三花智控,20250922,20251029,0.2268,rebalance,21
300475,香农芯创,20250922,20251029,0.4820,rebalance,21
603186,华正新材,20250922,20251029,0.1229,rebalance,21
300373,扬杰科技,20251029,20251127,-0.1384,rebalance,21
