code,name,buy_date,sell_date,buy_px,sell_px,ret,pnl,exit,hold_days,dev_at_buy
688037,芯源微,20220803,20220824,90.2925,88.1582,-0.023638,-47276.07,trail,15,0.116932
002837,英维克,20220824,20220831,12.5908,9.9625,-0.208747,-417493.74,trail,5,0.040743
300604,长川科技,20220831,20221010,58.1684,45.0504,-0.225518,-451035.34,trail,22,0.033952
300475,香农芯创,20220831,20221010,21.2689,17.1056,-0.195745,-391490.63,trail,22,0.032731
002851,麦格米特,20220831,20221031,31.8231,24.9262,-0.216727,-433453.51,trail,36,0.037165
601869,长飞光纤,20220901,20221109,42.2970,35.2872,-0.165729,-331458.10,trail,42,0.062148
002466,天齐锂业,20220922,20221021,111.0497,87.9091,-0.208381,-416761.75,trail,16,0.035314
002837,英维克,20221010,20221216,10.4940,9.8529,-0.061090,-122180.83,trail,48,0.031247
600276,恒瑞医药,20221010,20230807,33.6089,38.3855,0.142124,284248.58,trail,196,0.030987
688037,芯源微,20221021,20221110,113.7084,95.6799,-0.158550,-317100.80,trail,13,0.093976
300502,新易盛,20221031,20230427,8.3872,21.8079,1.600151,3200302.96,trail,115,0.087521
601899,紫金矿业,20221109,20230512,7.8855,9.5142,0.206535,413070.37,trail,116,0.071972
603738,泰晶科技,20221111,20221223,16.6439,14.1069,-0.152429,-304858.22,trail,30,0.037635
603186,华正新材,20221216,20230426,25.4625,28.2736,0.110401,220802.49,trail,80,0.056607
300757,罗博特科,20221228,20230310,40.0497,36.2037,-0.096031,-192061.92,trail,40,0.063394
688037,芯源微,20230310,20230510,110.9895,114.2500,0.029376,58751.52,trail,39,0.033183
000977,浪潮信息,20230426,20230628,43.6012,50.2110,0.151596,303191.11,trail,40,0.046056
600900,长江电力,20230504,20260723,19.0016,28.7916,0.515225,1030449.35,final,715,0.031890
601088,中国神华,20230510,20250221,22.3524,30.9933,0.386577,773153.99,trail,407,0.061292
601689,拓普集团,20230512,20231013,34.8128,42.8587,0.231119,462238.36,trail,92,0.037399
002851,麦格米特,20230628,20230920,35.1940,28.8315,-0.180785,-361569.20,trail,50,0.036096
300394,天孚通信,20230807,20230828,37.6419,28.2636,-0.249146,-498291.40,trail,5,0.052769
600276,恒瑞医药,20230829,20240129,41.7854,38.5051,-0.078504,-157007.13,trail,92,0.033948
300394,天孚通信,20230922,20231027,30.5791,25.1952,-0.176065,-352129.69,trail,19,0.042200
603738,泰晶科技,20231013,20240110,18.4899,14.6150,-0.209569,-419138.07,trail,52,0.064945
300604,长川科技,20231027,20240117,37.2306,31.8202,-0.145321,-290641.64,trail,47,0.070760
000657,中钨高新,20240111,20240202,8.7283,6.7944,-0.221562,-443123.07,trail,16,0.044280
300373,扬杰科技,20240117,20240826,34.1005,33.5238,-0.016910,-33820.94,trail,141,0.047283
601600,中国铝业,20240129,20240725,5.3473,6.2863,0.175605,351209.41,trail,111,0.065247
300394,天孚通信,20240205,20240513,36.0668,47.2920,0.311232,622463.78,trail,54,0.083445
002851,麦格米特,20240513,20240627,25.3321,24.5476,-0.030967,-61934.36,trail,32,0.040629
002384,东山精密,20240628,20240805,20.6970,21.2699,0.027680,55359.59,trail,26,0.034554
300757,罗博特科,20240730,20240823,96.4725,76.8109,-0.203806,-407611.31,trail,18,0.051182
603259,药明康德,20240805,20250408,39.3575,48.1687,0.223876,447751.54,trail,148,0.031864
300661,圣邦股份,20240902,20241011,53.8244,68.9206,0.280472,560943.48,trail,22,0.033934
002050,三花智控,20240902,20241126,16.0520,21.3397,0.329409,658818.22,trail,54,0.033445
300757,罗博特科,20241011,20241125,149.9457,186.3585,0.242840,485679.40,trail,31,0.176151
002837,英维克,20241125,20250327,20.4964,23.2126,0.132522,265044.38,trail,68,0.036018
300620,光库科技,20241129,20250407,49.6107,35.0082,-0.294341,-588682.84,trail,70,0.043377
300054,鼎龙股份,20250221,20260710,31.4519,82.7884,1.632223,3264445.58,trail,295,0.070731
600276,恒瑞医药,20250328,20260127,48.3667,56.7863,0.174078,348155.68,trail,181,0.031991
600111,北方稀土,20250409,20251112,25.2217,45.2796,0.795262,1590523.52,trail,131,0.030395
300661,圣邦股份,20250411,20250509,88.0051,74.1609,-0.157312,-314623.62,trail,17,0.071434
300502,新易盛,20250509,20251111,54.9580,231.2695,3.208110,6416220.67,trail,111,0.075634
300475,香农芯创,20251111,20251120,177.0736,145.2732,-0.179589,-359177.71,trail,7,0.111107
601600,中国铝业,20251112,20260319,11.7481,11.7856,0.003199,6397.65,trail,69,0.049565
002466,天齐锂业,20251120,20260206,62.5125,50.0118,-0.199972,-399944.20,trail,40,0.036764
000657,中钨高新,20260127,20260316,50.4233,54.7539,0.085884,171767.86,trail,23,0.101093
601869,长飞光纤,20260206,20260706,175.3380,440.2827,1.511051,3022102.67,trail,95,0.063599
002384,东山精密,20260316,20260720,119.3867,216.9135,0.816898,1633795.42,trail,85,0.061354
603986,兆易创新,20260319,20260331,303.9145,236.4599,-0.221952,-443904.98,trail,8,0.036049
002460,赣锋锂业,20260331,20260528,78.4842,72.3776,-0.077808,-155615.56,trail,38,0.073017
300373,扬杰科技,20260528,20260710,114.6715,118.2250,0.030989,61977.27,trail,30,0.130325
000938,紫光股份,20260706,20260723,33.4183,41.7628,0.249700,499400.22,final,13,0.063184
300604,长川科技,20260710,20260717,353.4550,277.7147,-0.214286,-428571.42,trail,5,0.079287
000977,浪潮信息,20260710,20260723,89.8109,88.5168,-0.014409,-28818.93,final,9,0.128348
601899,紫金矿业,20260722,20260723,32.3047,33.2349,0.028796,57592.33,final,1,0.033034
601600,中国铝业,20260722,20260723,9.4606,9.8230,0.038304,76607.34,final,1,0.032738
