date,equity,positions
2022-05-23,11206510.97,5
2022-05-24,10842836.88,5
2022-05-25,10957925.54,5
2022-05-26,11044861.92,5
2022-05-27,11148418.20,5
2022-05-30,11178902.29,5
2022-05-31,11190575.50,5
2022-06-01,11091326.07,4
2022-06-02,11184054.71,4
2022-06-06,11574825.53,4
2022-06-07,11524418.66,4
2022-06-08,11712394.71,4
2022-06-09,11469642.67,4
2022-06-10,11468149.44,5
2022-06-13,11302077.67,5
2022-06-14,11044601.30,5
2022-06-15,11469631.34,5
2022-06-16,11409536.22,5
2022-06-17,11439287.63,5
2022-06-20,11409129.39,5
2022-06-21,11338527.66,5
2022-06-22,11132490.97,4
2022-06-23,11440642.01,4
2022-06-24,11365372.11,4
2022-06-27,11262829.21,4
2022-06-28,11544406.11,4
2022-06-29,11558109.68,3
2022-06-30,11533337.72,3
2022-07-01,11581924.13,3
2022-07-04,11484052.48,3
2022-07-05,11440449.65,3
2022-07-06,11489484.02,3
2022-07-07,11499553.59,3
2022-07-08,11492957.46,3
2022-07-11,11248005.38,5
2022-07-12,11130655.45,5
2022-07-13,11059512.63,5
2022-07-14,11076894.39,5
2022-07-15,11049444.00,5
2022-07-18,11106816.40,4
2022-07-19,11216013.02,4
2022-07-20,11125050.03,4
2022-07-21,11090839.40,3
2022-07-22,10970269.17,3
2022-07-25,11000003.70,3
2022-07-26,10931828.72,3
2022-07-27,10967307.90,3
2022-07-28,11066104.99,3
2022-07-29,10910894.76,3
2022-08-01,10966272.54,3
2022-08-02,10816801.17,3
2022-08-03,11042904.09,3
2022-08-04,11216295.02,3
2022-08-05,11730899.86,3
2022-08-08,11502324.29,3
2022-08-09,11658706.71,5
2022-08-10,11427174.58,5
2022-08-11,11580280.95,5
2022-08-12,11479491.12,5
2022-08-15,11641305.32,5
2022-08-16,11472710.89,5
2022-08-17,11468207.57,5
2022-08-18,11488244.47,5
2022-08-19,11255003.81,5
2022-08-22,11564406.78,5
2022-08-23,11645634.12,5
2022-08-24,11256268.59,4
2022-08-25,11064178.72,4
2022-08-26,11309879.80,4
2022-08-29,11252994.75,4
2022-08-30,11266360.41,4
2022-08-31,11055725.26,4
2022-09-01,10792927.99,1
2022-09-02,10784530.37,1
2022-09-05,10788729.18,1
2022-09-06,10818120.88,1
2022-09-07,10730043.05,5
2022-09-08,10603266.74,5
2022-09-09,10550151.48,5
2022-09-13,10511348.94,5
2022-09-14,10418748.31,5
2022-09-15,9918305.45,3
2022-09-16,9889186.52,3
2022-09-19,9780520.69,2
2022-09-20,9748266.36,2
2022-09-21,9654096.22,2
2022-09-22,9640114.73,2
2022-09-23,9521226.09,1
2022-09-26,9472474.89,0
2022-09-27,9472474.89,0
2022-09-28,9472474.89,0
2022-09-29,9472474.89,0
2022-09-30,9472474.89,0
2022-10-10,9472474.89,0
2022-10-11,9472474.89,0
2022-10-12,9472474.89,0
2022-10-13,9472474.89,0
2022-10-14,9408742.82,5
2022-10-17,9501799.64,5
2022-10-18,9620596.69,5
2022-10-19,9529652.99,5
2022-10-20,9549728.06,5
2022-10-21,9520731.36,5
2022-10-24,9374060.68,5
2022-10-25,9363193.35,5
2022-10-26,9579581.59,5
2022-10-27,9816046.34,4
2022-10-28,9635527.11,4
2022-10-31,9962065.18,4
2022-11-01,10113563.31,4
2022-11-02,10072662.79,4
2022-11-03,10094488.44,4
2022-11-04,10314183.01,4
2022-11-07,10300951.23,4
2022-11-08,10274758.06,4
2022-11-09,10215319.23,4
2022-11-10,10014646.55,4
2022-11-11,10148477.68,4
2022-11-14,10119529.92,4
2022-11-15,10482968.67,4
2022-11-16,10260736.85,4
2022-11-17,10367263.88,4
2022-11-18,10216827.90,4
2022-11-21,10328528.21,4
2022-11-22,10217064.25,4
2022-11-23,10324046.54,4
2022-11-24,10351241.41,4
2022-11-25,10176141.94,3
2022-11-28,10026605.73,2
2022-11-29,9953887.74,2
2022-11-30,9918554.07,2
2022-12-01,10006165.74,2
2022-12-02,10046267.04,2
2022-12-05,9926230.36,1
2022-12-06,9913057.01,1
2022-12-07,9881064.60,1
2022-12-08,9896119.85,1
2022-12-09,9854717.90,1
2022-12-12,9824607.39,1
2022-12-13,9691239.95,4
2022-12-14,9698012.60,4
2022-12-15,9881334.10,4
2022-12-16,9558487.98,4
2022-12-19,9630080.60,4
2022-12-20,9427914.70,4
2022-12-21,9340093.27,3
2022-12-22,9190462.68,3
2022-12-23,9170440.12,2
2022-12-26,9242743.74,2
2022-12-27,9250700.17,2
2022-12-28,9182204.11,2
2022-12-29,9164845.13,2
2022-12-30,9075659.65,0
2023-01-03,9075659.65,0
2023-01-04,9075659.65,0
2023-01-05,9075659.65,0
2023-01-06,9075659.65,0
2023-01-09,9075659.65,0
2023-01-10,9075659.65,0
2023-01-11,9075659.65,0
2023-01-12,9014597.40,5
2023-01-13,9057168.33,5
2023-01-16,9221742.67,5
2023-01-17,9336137.93,5
2023-01-18,9391755.56,5
2023-01-19,9392993.39,5
2023-01-20,9545534.00,5
2023-01-30,9733828.53,5
