date,equity,positions,cash
20210324,13733384.79,3,7844437.99
20210325,13751178.78,3,7845216.21
20210326,13929734.54,3,7845994.51
20210329,13862841.61,3,7846772.88
20210330,13926204.89,3,7847551.33
20210331,13841085.61,3,7848329.86
20210401,13915495.71,3,7849108.46
20210402,14041392.12,3,7849887.14
20210406,13987902.73,3,7850665.90
20210407,14002145.75,3,7851444.74
20210408,13996461.54,3,7852223.65
20210409,13964880.36,3,7853002.64
20210412,13809614.52,3,7853781.71
20210413,13761460.05,3,7854560.85
20210414,13724686.38,3,7855340.07
20210415,13719320.90,3,7856119.37
20210416,13973556.34,3,7856898.75
20210419,14121891.49,3,7857678.21
20210420,13824968.06,5,3822760.79
20210421,13829598.97,5,3823140.03
20210422,14065503.74,5,3823519.31
20210423,13959644.75,5,3823898.63
20210426,14147934.59,5,3824277.98
20210427,14037483.85,5,3824657.37
20210428,14020453.89,5,3825036.80
20210429,14236584.22,5,3825416.27
20210430,14327734.03,5,3825795.78
20210506,14425873.19,5,3826175.32
20210507,13746819.44,5,3826554.90
20210510,13536142.45,5,3826934.52
20210511,13520042.77,5,3827314.18
20210512,13419888.66,4,5285080.79
20210513,13614974.37,4,5285605.11
20210514,13901961.63,4,5286129.47
20210517,13886855.84,4,5286653.89
20210518,13882136.44,4,5287178.36
20210519,14110839.27,4,5287702.88
20210520,14031718.40,4,5288227.46
20210521,13958631.27,4,5288752.08
20210524,14293404.95,5,4325799.67
20210525,14537254.27,5,4326228.82
20210526,14707216.93,5,4326658.00
20210527,14766215.58,5,4327087.24
20210528,14767900.64,5,4327516.51
20210531,14985897.29,5,4327945.83
20210601,15044646.19,5,4328375.19
20210602,14900525.57,5,4328804.59
20210603,15055385.09,5,4329234.04
20210604,14921794.12,5,4329663.52
20210607,15071924.23,5,4330093.05
20210608,15001255.41,5,4330522.63
20210609,15051057.96,5,4330952.24
20210610,15063067.06,5,4331381.90
20210611,14947240.63,5,4331811.60
20210615,14564028.40,5,4332241.34
20210616,14408693.41,5,4332671.13
20210617,14347029.01,5,4333100.96
20210618,14208758.91,5,4333530.83
20210621,14132072.70,5,4333960.74
20210622,14243648.39,5,4334390.70
20210623,14297101.01,5,4518284.65
20210624,14150416.60,5,4518732.89
20210625,14422838.55,5,4519181.18
20210628,14682153.60,5,4519629.51
20210629,14510830.79,5,4520077.88
