K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win,Neg
0.5,14,0.1,8,1,0.8,1.5822555156576552,257.15495997685645,70.53497122609704,18.229836522484067,3.8692048137185204,215,47.44186046511628,0
0.5,21,0.28,8,1,0,1.5800574551427715,325.7237885457035,83.56677113084217,24.531958413907834,3.4064451651550938,200,58.5,0
0.5,21,0.28,8,1,0.8,1.5800574551427715,325.7237885457035,83.56677113084217,24.531958413907834,3.4064451651550938,200,58.5,0
0.5,30,0.35,5,1,0,1.579832798313131,443.7766442707348,103.40550066081357,32.46796775425231,3.1848467216513923,125,56.00000000000001,0
0.5,30,0.35,5,1,0.8,1.579832798313131,443.7766442707348,103.40550066081357,32.46796775425231,3.1848467216513923,125,56.00000000000001,0
0.5,30,0.28,5,3,0,1.5748168590040343,436.91891327099324,102.3259410779123,35.19307831239604,2.907558701446986,126,56.34920634920635,0
0.5,30,0.28,5,3,0.8,1.5748168590040343,436.91891327099324,102.3259410779123,35.19307831239604,2.907558701446986,126,56.34920634920635,0
0.5,14,0.35,8,3,0,1.5733736822498523,336.8959316180499,85.57148430992669,30.73500029872201,2.7841706028382514,201,58.2089552238806,0
0.5,14,0.35,8,3,0.8,1.5733736822498523,336.8959316180499,85.57148430992669,30.73500029872201,2.7841706028382514,201,58.2089552238806,0
0.5,21,0.18,8,1,0,1.572717823887313,299.7063694615161,78.77662368254947,24.965627802502617,3.1554032730814283,206,55.8252427184466,0
0.5,21,0.18,8,1,0.8,1.572717823887313,299.7063694615161,78.77662368254947,24.965627802502617,3.1554032730814283,206,55.8252427184466,0
1.0,10,0.1,8,3,0,1.5724449713762,237.04244626438697,66.44040605878081,25.75820547766262,2.5793879979875762,223,45.2914798206278,0
2.5,30,0.22,8,1,0,1.5701019579931035,321.1645765668728,82.73989972630666,31.52256620107805,2.6247831219869724,174,52.29885057471264,0
1.0,10,0.28,5,3,0,1.5688710362786098,401.1221775825763,96.5563941962998,31.298406988803034,3.0850258363258782,135,52.59259259259259,0
1.0,10,0.28,5,3,0.8,1.5688710362786098,401.1221775825763,96.5563941962998,31.298406988803034,3.0850258363258782,135,52.59259259259259,0
2.0,30,0.35,8,1,0,1.5686528047793746,342.3654561357272,86.54207865591404,37.077198549627795,2.3341051115304072,198,50.505050505050505,1
0.5,10,0.28,8,3,0,1.5623377235561435,306.08504397010745,79.96738855065352,29.132571417031688,2.7449478250966353,208,57.692307692307686,0
0.5,10,0.28,8,3,0.8,1.5623377235561435,306.08504397010745,79.96738855065352,29.132571417031688,2.7449478250966353,208,57.692307692307686,0
1.0,14,0.35,8,3,0,1.562116983109207,351.36276814617366,88.12365238083821,24.742765183608732,3.5615927212216856,210,50.476190476190474,0
1.0,14,0.35,8,3,0.8,1.562116983109207,351.36276814617366,88.12365238083821,24.742765183608732,3.5615927212216856,210,50.476190476190474,0
2.0,21,0.18,8,3,0,1.5615494697269248,363.1762879079377,90.17271487756796,27.57535125681585,3.2700477334909666,153,49.673202614379086,0
2.0,21,0.35,8,3,0,1.5598874999248467,391.6604924357412,94.99167540539351,31.969765736722632,2.9712971996000475,150,52.0,0
