K,LB,Trail,Pos,Sec,Floor,S,R,CAGR,MDD,CM,Trd,Win,Neg
0.5,10,0.35,8,1,0,1.559557554711721,305.7022268736701,79.89623228816691,29.065059962369595,2.7488755361801496,207,57.48792270531401,0
0.5,10,0.35,8,1,0.8,1.559557554711721,305.7022268736701,79.89623228816691,29.065059962369595,2.7488755361801496,207,57.48792270531401,0
1.0,14,0.3,8,3,0,1.5562843988559611,346.97961485612865,87.3554785948241,24.200913771718792,3.6095942251944138,210,50.476190476190474,0
1.0,14,0.3,8,3,0.8,1.5562843988559611,346.97961485612865,87.3554785948241,24.200913771718792,3.6095942251944138,210,50.476190476190474,0
0.5,10,0.3,8,1,0,1.5534330004883627,302.7935801844308,79.35430846562366,29.065059962369546,2.7302303373316095,207,57.48792270531401,0
0.5,10,0.3,8,1,0.8,1.5534330004883627,302.7935801844308,79.35430846562366,29.065059962369546,2.7302303373316095,207,57.48792270531401,0
1.0,10,0.1,8,1,0,1.5512594026421074,228.0452011780482,64.56277293114687,24.53483504515943,2.6314736908689635,220,45.909090909090914,0
0.5,30,0.3,5,1,0,1.5456955078450174,419.34983140066765,99.52311165272411,32.4679677542523,3.065270743337167,125,56.00000000000001,0
0.5,30,0.3,5,1,0.8,1.5456955078450174,419.34983140066765,99.52311165272411,32.4679677542523,3.065270743337167,125,56.00000000000001,0
1.0,10,0.22,5,3,0,1.5427717842323136,378.7570548332702,92.82932895741276,32.89153873616614,2.8222859897807573,137,51.82481751824818,0
1.0,10,0.22,5,3,0.8,1.5427717842323136,378.7570548332702,92.82932895741276,32.89153873616614,2.8222859897807573,137,51.82481751824818,0
2.0,21,0.35,8,1,0,1.5359976887048736,379.1812468643253,92.90094903542794,31.969765736722632,2.9059002121093314,148,51.35135135135135,0
2.5,30,0.18,8,3,0,1.5356963095003306,295.7395664080346,78.03053137495435,29.655036486105164,2.6312741652338034,176,51.70454545454546,0
2.5,30,0.35,8,1,0,1.535512839294904,311.62982682769416,80.99368913647011,36.86918255733128,2.1967855948670842,173,52.601156069364166,0
0.5,30,0.22,5,3,0,1.535305004784903,410.8626075737626,98.14939047052948,38.08000554626264,2.5774521054438857,127,55.90551181102362,0
0.5,30,0.22,5,3,0.8,1.535305004784903,410.8626075737626,98.14939047052948,38.08000554626264,2.5774521054438857,127,55.90551181102362,0
1.5,14,0.35,8,1,0,1.535073637756267,348.30409589008553,87.58806121891077,29.394085309543925,2.9797852287811084,194,57.21649484536082,0
1.0,14,0.28,8,3,0,1.5350250324836732,335.8693034473793,85.38851887221452,24.819671412847665,3.440356540256773,210,50.476190476190474,0
1.0,14,0.28,8,3,0.8,1.5350250324836732,335.8693034473793,85.38851887221452,24.819671412847665,3.440356540256773,210,50.476190476190474,0
0.5,14,0.3,8,3,0,1.5349956566522327,317.82480834909825,82.1308862356766,29.924236979557467,2.744627583713621,201,57.711442786069654,0
0.5,14,0.3,8,3,0.8,1.5349956566522327,317.82480834909825,82.1308862356766,29.924236979557467,2.744627583713621,201,57.711442786069654,0
2.5,30,0.28,8,1,0,1.5343349052246622,308.78520794553907,80.46817975824756,34.87391485991518,2.3074031143758797,173,52.601156069364166,0
2.0,30,0.18,8,1,0.8,1.5338319421234285,300.0391349323043,78.83901570173654,35.1662591223723,2.2418937262388603,204,47.549019607843135,0
2.5,30,0.3,8,1,0,1.5309933676121452,308.24192536902177,80.36757350349302,35.691065957883396,2.2517560444490323,173,52.601156069364166,0
1.0,14,0.35,8,1,0,1.5309526738498664,335.6753026227322,85.35391598564344,24.742765183608732,3.449651457800181,211,49.28909952606635,0
1.0,14,0.35,8,1,0.8,1.5309526738498664,335.6753026227322,85.35391598564344,24.742765183608732,3.449651457800181,211,49.28909952606635,0
0.5,30,0.1,8,1,0,1.5296871864283952,220.80287639529126,63.02953482491587,25.920895586661295,2.431610999480682,206,50.0,0
0.5,30,0.1,8,1,0.8,1.5296871864283952,220.80287639529126,63.02953482491587,25.920895586661295,2.431610999480682,206,50.0,0
2.0,21,0.18,8,1,0,1.5283820833751434,347.4645314829254,87.4406777094076,27.57535125681585,3.170972398322387,151,49.00662251655629,0
1.5,14,0.35,8,3,0,1.5257338663494557,344.31147026638547,86.88572670135572,29.968448328551077,2.8992400857330773,197,57.868020304568525,0
1.0,14,0.3,8,1,0,1.5251742627770053,331.6040056932816,84.62566639606679,24.200913771718792,3.4967963273750606,211,49.28909952606635,0
1.0,14,0.3,8,1,0.8,1.5251742627770053,331.6040056932816,84.62566639606679,24.200913771718792,3.4967963273750606,211,49.28909952606635,0
0.5,10,0.28,8,1,0,1.5233332614846795,289.3898757734303,76.82716076796588,30.010964819104473,2.559969705441093,207,57.48792270531401,0
0.5,10,0.28,8,1,0.8,1.5233332614846795,289.3898757734303,76.82716076796588,30.010964819104473,2.559969705441093,207,57.48792270531401,0
2.0,21,0.28,8,3,0,1.5229096457164655,371.6893158445942,91.63055697141462,31.985779174463758,2.8647279927627656,151,51.65562913907284,0
2.0,21,0.3,8,3,0,1.5228570436571378,368.29116847608503,91.05047690894969,31.350862900544712,2.904241494015392,150,52.0,0
0.5,30,0.28,5,1,0,1.5223586542883936,405.1355838890855,97.21492475464686,35.19307831239599,2.762330816636891,125,55.2,0
