code,name,buy_date,sell_date,buy_px,sell_px,ret,pnl,exit,hold_days,dev_at_buy
688037,芯源微,20220928,20220930,106.6655,100.8105,-0.054891,-182970.76,ma10,2,0.050485
601869,长飞光纤,20220928,20220930,44.3737,40.7167,-0.082414,-274712.73,ma10,2,0.045495
600276,恒瑞医药,20220930,20221012,34.4516,32.3682,-0.060474,-201581.56,ma10,3,0.030232
002837,英维克,20220926,20221025,10.2933,12.2439,0.189498,631659.74,ma10,16,0.038303
300661,圣邦股份,20221014,20221027,87.8446,87.0224,-0.009359,-31196.48,ma10,8,0.041668
000657,中钨高新,20221014,20221028,9.8820,10.1717,0.029316,97719.64,ma10,9,0.060471
688037,芯源微,20221025,20221107,118.1026,113.1541,-0.041900,-139667.13,ma10,8,0.080649
688012,中微公司,20221027,20221108,69.7961,72.1086,0.033132,110439.43,ma10,8,0.046793
300502,新易盛,20221028,20221110,7.8755,8.4183,0.068922,229741.66,ma10,9,0.059776
601899,紫金矿业,20221108,20221121,7.6548,7.9600,0.039876,132918.82,ma10,9,0.057664
603738,泰晶科技,20221111,20221122,16.6439,16.5477,-0.005780,-19267.30,ma10,7,0.037635
688008,澜起科技,20221107,20221125,63.9070,67.4461,0.055379,184596.29,ma10,14,0.081650
300757,罗博特科,20221122,20221125,33.3781,32.9061,-0.014141,-47135.66,ma10,3,0.049791
002837,英维克,20221125,20221129,11.2765,10.9089,-0.032598,-108660.05,ma10,2,0.037670
300620,光库科技,20221121,20221202,27.8703,27.7755,-0.003403,-11342.43,ma10,9,0.056058
601088,中国神华,20221125,20221202,21.2488,20.2338,-0.047767,-159224.02,ma10,5,0.040424
300604,长川科技,20221129,20221205,57.7370,53.4787,-0.073754,-245846.67,ma10,4,0.036364
000657,中钨高新,20221205,20221212,12.1795,11.4967,-0.056056,-186852.91,ma10,5,0.051602
300757,罗博特科,20221202,20221213,37.3209,36.0344,-0.034472,-114907.69,ma10,7,0.036060
601899,紫金矿业,20221205,20221215,9.0493,8.7969,-0.027895,-92982.18,ma10,8,0.034657
603986,兆易创新,20221214,20221219,103.1241,98.4992,-0.044847,-149490.81,ma10,3,0.035765
603186,华正新材,20221216,20221222,25.4625,22.5750,-0.113401,-378001.86,trail,4,0.056607
000657,中钨高新,20221228,20230110,12.0591,11.6063,-0.037545,-125148.59,ma10,8,0.046732
002837,英维克,20221228,20230117,11.3568,12.0048,0.057060,190201.19,ma10,13,0.055064
300757,罗博特科,20221228,20230118,40.0497,40.7666,0.017898,59659.98,ma10,14,0.063394
601689,拓普集团,20230110,20230118,45.2666,42.7491,-0.055616,-185386.89,ma10,6,0.070552
603986,兆易创新,20230118,20230131,115.3537,112.4169,-0.025459,-84864.65,ma10,4,0.053022
300661,圣邦股份,20230118,20230201,108.5015,103.7395,-0.043889,-146295.23,ma10,5,0.053871
002466,天齐锂业,20230131,20230206,91.9278,86.9129,-0.054553,-181843.71,ma10,4,0.052182
601689,拓普集团,20230201,20230216,48.6376,46.5946,-0.042003,-140011.65,ma10,5,0.061826
300394,天孚通信,20230206,20230222,9.9221,12.0546,0.214922,716405.25,ma10,6,0.078796
688037,芯源微,20230117,20230224,86.7711,97.7321,0.126321,421070.82,ma10,17,0.063866
603186,华正新材,20230222,20230227,33.4484,31.0332,-0.072206,-240686.23,ma10,3,0.046290
000977,浪潮信息,20230216,20230303,37.6419,38.2161,0.015255,50848.42,trail,11,0.118518
603738,泰晶科技,20230224,20230303,19.8042,18.7195,-0.054767,-182557.23,ma10,5,0.038869
000977,浪潮信息,20230303,20230306,38.4847,34.3806,-0.106642,-355473.36,trail,1,0.053838
000938,紫光股份,20230301,20230307,26.7968,24.4878,-0.086166,-287221.09,ma10,4,0.040062
688012,中微公司,20230306,20230316,82.2063,80.3077,-0.023095,-76984.87,ma10,8,0.060153
300604,长川科技,20230307,20230316,48.5071,45.5984,-0.059966,-199886.39,trail,7,0.061050
002371,北方华创,20230316,20230322,195.9548,194.9761,-0.004995,-16648.44,ma10,4,0.031809
600584,长电科技,20230317,20230331,30.4587,31.7804,0.043393,144644.64,ma10,10,0.034465
601138,工业富联,20230303,20230411,9.3001,15.1928,0.633613,2112044.52,ma10,26,0.068339
300394,天孚通信,20230322,20230413,16.1523,19.0682,0.180525,601750.32,trail,15,0.123031
300475,香农芯创,20230411,20230421,20.2556,19.9449,-0.015339,-51128.61,ma10,8,0.064279
300502,新易盛,20230331,20230425,16.6640,25.7331,0.544237,1814123.16,trail,16,0.076505
300620,光库科技,20230421,20230425,44.5142,42.6395,-0.042115,-140382.35,trail,2,0.119672
002837,英维克,20230413,20230427,14.4769,13.8180,-0.045515,-151715.29,trail,10,0.091646
000977,浪潮信息,20230425,20230427,46.7715,41.7429,-0.107515,-358383.37,trail,2,0.060056
300308,中际旭创,20230425,20230505,55.9412,53.7577,-0.039033,-130110.97,trail,5,0.058432
601288,农业银行,20230505,20230511,2.6887,2.6401,-0.018093,-60310.83,trail,4,0.032331
002851,麦格米特,20230505,20230512,32.1742,30.4255,-0.054353,-181175.29,ma10,5,0.044613
601088,中国神华,20230511,20230517,22.0213,21.6087,-0.018740,-62465.93,ma10,4,0.034200
002466,天齐锂业,20230517,20230523,76.7386,73.9915,-0.035798,-119327.40,ma10,4,0.060246
600900,长江电力,20230504,20230524,19.0016,18.9387,-0.003307,-11024.10,ma10,14,0.031890
