date,equity,cash,positions
20221207,14599919.06,4681069.00,4
20221208,14626111.67,4681533.39,4
20221209,14727294.18,4681997.83,4
20221212,14620245.55,4682462.31,4
20221213,14654379.68,4682926.84,4
20221214,14708565.40,4683391.42,4
20221215,14571565.25,4683856.04,4
20221216,14598622.22,4684320.71,4
20221219,14400993.78,4684785.42,4
20221220,14297562.05,4685250.18,4
20221221,14316093.68,4685714.99,4
20221222,14284163.21,4686179.84,4
20221223,14215053.57,4686644.74,4
20221226,14200169.70,4687109.69,4
20221227,14380200.86,4687574.68,4
20221228,14371027.20,4688039.71,4
20221229,14364213.45,4688504.80,4
20221230,14463555.97,4688969.93,4
20230103,14725664.37,4689435.10,4
20230104,14716788.10,4689900.32,4
20230105,14714391.36,4690365.59,4
20230106,14727090.15,4690830.91,4
20230109,15016598.34,4691296.27,4
20230110,14969846.76,4691761.67,4
20230111,15000681.11,4692227.13,4
20230112,14967069.07,4692692.62,4
20230113,15045508.26,4693158.17,4
20230116,15075540.54,4693623.76,4
20230117,14969246.39,4694089.40,4
20230118,15049262.81,4694555.08,4
20230119,15083246.03,4695020.81,4
20230120,15284161.79,4695486.59,4
20230130,15128249.68,4695952.41,4
20230131,15217677.54,4696418.28,4
20230201,15438155.01,4696884.19,4
20230202,15436555.03,4697350.15,4
20230203,15476211.00,4697816.16,4
20230206,15372144.68,4698282.21,4
20230207,15642894.18,4698748.31,4
20230216,15611913.90,4699214.46,4
20230217,15453789.04,4699680.65,4
20230220,15722195.84,4700146.89,4
20230221,15841230.71,4700613.17,4
20230222,15747429.07,4701079.50,4
20230223,15722673.04,4701545.88,4
20230224,15732570.54,4702012.30,4
20230227,15623426.12,4702478.77,4
20230228,15748647.83,4702945.29,4
20230301,15987249.93,4703411.85,4
20230302,16110029.92,4703878.46,4
20230303,15999684.94,4704345.11,4
20230306,15980311.14,4704811.81,4
20230307,15898996.42,4705278.56,4
20230308,15801571.25,4705745.35,4
20230309,15714137.73,4706212.19,4
20230310,15626689.78,4706679.08,4
20230313,15977075.76,4707146.01,4
20230314,15842459.84,4707612.99,4
20230315,15739357.60,4708080.02,4
20230316,15648024.82,4708547.09,4
20230317,15862244.03,4709014.21,4
20230320,16051500.36,4709481.37,4
20230321,16107065.02,4709948.58,4
20230322,16851322.65,4710415.84,4
20230323,17535566.28,4710883.14,4
20230324,17660163.30,4711350.49,4
20230327,17945842.13,4711817.89,4
20230328,17743516.85,4712285.33,4
20230329,17996832.93,4712752.82,4
20230330,18096010.77,4713220.35,4
20230331,18475482.93,4713687.93,4
20230403,19164211.76,4714155.56,4
20230404,19303493.64,4714623.24,4
20230406,19550139.89,4715090.96,4
20230407,19793179.84,4715558.72,4
20230410,19828579.28,4716026.54,4
20230411,19801065.65,4716494.40,4
20230412,19930179.07,4716962.30,4
20230413,19494201.45,4717430.25,4
20230414,19851993.42,4717898.25,4
20230417,19755042.65,4718366.30,4
20230418,20710361.46,4718834.39,4
20230419,20803147.36,4719302.53,4
20230420,21211965.57,4719770.71,4
20230421,20802227.92,4720238.95,4
20230424,21313774.66,4720707.22,4
20230425,20981863.02,4721175.55,4
20230426,20741937.98,4721643.92,4
20230427,20823306.44,4722112.34,4
20230428,21912692.88,4722580.80,4
20230504,21749932.77,4723049.31,4
20230505,20950776.73,4723517.87,4
20230508,21159284.95,4723986.47,4
20230509,21487711.59,4724455.12,4
20230510,20606380.62,4724923.81,4
20230511,20190260.24,4725392.56,4
20230512,20275673.78,4725861.34,4
20230515,20741221.93,4726330.18,4
20230516,20490676.93,4726799.06,4
20230517,20595080.02,4727267.99,4
20230518,22279593.74,4727736.97,4
20230519,21992849.71,4728205.99,4
20230522,21719627.59,4728675.06,4
20230523,21251479.28,4729144.17,4
20230524,21118692.82,4729613.33,4
20230525,21588251.28,4730082.54,4
20230526,21541941.40,4730551.79,4
20230529,22062915.08,4731021.09,4
20230530,23246337.62,4731490.44,4
20230531,23073531.19,4731959.83,4
20230601,23250253.27,4732429.28,4
20230602,23308786.60,4732898.76,4
20230605,23718790.59,4733368.30,4
20230606,23382969.07,4733837.88,4
20230607,23506230.74,4734307.50,4
20230608,23515557.77,4734777.18,4
20230609,24406306.78,4735246.90,4
20230612,24822510.96,4735716.66,4
20230613,24856621.32,4736186.48,4
20230614,25613291.39,4736656.34,4
20230615,26194532.35,4737126.24,4
20230616,28186481.12,4737596.20,4
20230619,28556245.89,4738066.19,4
20230620,29492691.16,4738536.24,4
20230621,28472783.62,4739006.33,4
20230626,27254479.06,4739476.47,4
20230627,27258738.20,4739946.66,4
20230628,26799927.69,4740416.89,4
20230629,27204821.99,4740887.17,4
