序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,退出原因
143,588220,科创100ETF,2026-02-26,2026-03-03,1.5729,1.4732,-6.34,-2638219.0,5,牛,all,Trail止损3%
144,588170,科创半导体ETF,2026-03-03,2026-03-04,0.5743,0.5697,-0.81,-314295.0,1,牛,all,趋势转空(MA6<MA15)
145,159937,博时黄金ETF,2026-03-04,2026-03-10,10.954,10.928,-0.24,-91929.0,6,牛,all,趋势转空(MA6<MA15)
146,510880,红利ETF,2026-03-10,2026-03-23,3.2718,3.2322,-1.21,-466758.0,13,牛,all,Trail止损3%
147,159915,创业板ETF,2026-03-23,2026-03-24,3.2298,3.2352,0.17,64256.0,1,牛,all,趋势转空(MA6<MA15)
148,515880,通信ETF,2026-04-02,2026-04-28,0.5413,0.6636,22.6,8629831.0,26,熊,all,Trail止损6%
149,515050,5G通信ETF,2026-04-28,2026-05-15,0.9875,1.1074,12.14,5681286.0,17,牛,all,Trail止损3%
150,588200,科创芯片ETF,2026-05-15,2026-05-21,1.1416,1.1893,4.18,2194194.0,6,牛,all,Trail止损3%
151,588170,科创半导体ETF,2026-05-21,2026-05-27,0.8455,0.8545,1.07,586372.0,6,牛,all,Trail止损3%
152,588170,科创半导体ETF,2026-05-27,2026-05-29,0.8555,0.8156,-4.67,-2579337.0,2,牛,all,Trail止损3%
153,159995,芯片ETF,2026-05-29,2026-06-01,1.2467,1.1784,-5.48,-2888402.0,3,牛,all,Trail止损3%
154,159995,芯片ETF,2026-06-01,2026-06-02,1.1796,1.1973,1.5,747029.0,1,牛,all,趋势转空(MA6<MA15)
155,588380,科创100ETF,2026-06-02,2026-06-05,1.3107,1.2843,-2.02,-1019306.0,3,牛,all,Trail止损3%
156,515880,通信ETF,2026-06-05,2026-06-08,0.8325,0.8006,-3.83,-1898104.0,3,牛,all,Trail止损3%
157,515880,通信ETF,2026-06-08,2026-06-10,0.8014,0.8146,1.64,779326.0,2,牛,all,Trail止损3%
158,515880,通信ETF,2026-06-10,2026-06-15,0.8154,0.8445,3.57,1727022.0,5,牛,all,趋势转空(MA6<MA15)
159,588170,科创半导体ETF,2026-06-15,2026-07-02,0.9335,1.2343,32.22,16157911.0,17,牛,all,Trail止损3%
160,588170,科创半导体ETF,2026-07-02,2026-07-03,1.2357,1.1923,-3.51,-2325206.0,1,牛,all,Trail止损3%
161,588170,科创半导体ETF,2026-07-03,2026-07-10,1.1937,1.2913,8.18,5232855.0,7,牛,all,Trail止损3%
162,589720,半导体设备ETF,2026-07-10,2026-07-15,0.9515,0.9955,4.62,3195200.0,5,牛,all,趋势转空(MA6<MA15)
163,589720,半导体设备ETF,2026-07-16,2026-07-17,0.9825,0.8965,-8.76,-6339904.0,1,牛,all,Trail止损3%
164,513050,中概互联ETF,2026-07-17,2026-07-22,1.0976,1.0814,-1.48,-974983.0,5,牛,all,Trail止损3%
165,513050,中概互联ETF,2026-07-22,2026-07-24,1.0826,1.0624,-1.86,-1213281.0,2,牛,all,趋势转空(MA6<MA15)
166,512010,医药ETF,2026-07-24,2026-07-28,0.3652,0.3658,0.16,104586.0,4,牛,all,趋势转空(MA6<MA15)
