序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,买入牛熊,买入池,峰值价,退出类型,触发详情
58,159937,博时黄金ETF,2022-03-16,2022-03-18,3.7991,3.8439,1.18,133223.0,2,熊,all,3.846,趋势全空,MA5<MA15且MA8斜率-0.0012<0
59,511260,十年国债ETF,2022-03-18,2022-03-25,112.757,112.691,-0.06,-6691.0,7,熊,all,112.753,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
60,159992,创新药ETF,2022-03-25,2022-04-07,1.1116,1.0704,-3.71,-423446.0,13,熊,all,1.119,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
61,510880,红利ETF,2022-04-07,2022-04-19,2.4914,2.4806,-0.43,-47402.0,12,熊,all,2.535,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
62,518880,华安黄金ETF,2022-04-19,2022-04-27,3.9382,3.8899,-1.23,-134362.0,8,熊,all,3.951,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
63,159937,博时黄金ETF,2022-04-27,2022-04-28,3.8941,3.8839,-0.26,-28557.0,1,熊,all,3.892,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0009<0"
64,511260,十年国债ETF,2022-05-11,2022-06-08,113.2633,113.5165,0.22,24130.0,28,熊,all,113.987,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
65,513180,恒生科技ETF,2022-06-08,2022-06-21,0.6123,0.6047,-1.25,-135458.0,13,熊,all,0.614,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
66,159915,创业板ETF,2022-06-21,2022-07-12,2.6164,2.6206,0.16,16816.0,21,熊,all,2.769,Trail止损3%,价2.622≤peak2.769×(1-3%)
67,159992,创新药ETF,2022-07-12,2022-07-14,1.0556,1.0754,1.88,200925.0,2,牛,all,1.076,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
68,511260,十年国债ETF,2022-07-14,2022-09-15,113.8466,115.5044,1.46,158692.0,63,牛,all,116.044,趋势全空,MA5<MA15且MA8斜率-0.0001<0
69,512890,中证红利低波ETF,2022-09-15,2022-09-21,0.8895,0.8635,-2.92,-322731.0,6,熊,all,0.889,趋势全空,MA5<MA15且MA8斜率-0.0026<0
70,518800,黄金ETF,2022-09-30,2022-10-21,3.9832,3.9598,-0.59,-62972.0,21,熊,all,4.005,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
71,512010,医药ETF,2022-10-21,2022-10-25,0.4733,0.4438,-6.23,-665230.0,4,熊,all,0.473,Trail止损6%,价0.444≤peak0.473×(1-6%)
72,511260,十年国债ETF,2022-10-25,2022-11-14,115.5495,114.9328,-0.53,-53405.0,20,熊,all,116.125,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
73,159992,创新药ETF,2022-11-14,2022-11-25,0.9825,0.9425,-4.08,-405745.0,11,熊,all,1.002,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0010<0"
74,518800,黄金ETF,2022-11-25,2022-12-01,4.1553,4.1527,-0.06,-5903.0,6,熊,def,4.157,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
75,512890,中证红利低波ETF,2022-12-01,2022-12-13,0.8585,0.8425,-1.86,-177093.0,12,熊,def,0.866,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0005<0"
76,510050,上证50ETF,2022-12-13,2022-12-20,2.5064,2.4317,-2.98,-279119.0,7,熊,def,2.522,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
77,518880,华安黄金ETF,2022-12-20,2023-02-08,3.9452,4.0078,1.59,144201.0,50,熊,def,4.125,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0010<0"
78,159819,人工智能ETF,2023-02-08,2023-02-17,0.7794,0.7796,0.02,1688.0,9,牛,all,0.826,Trail止损3%,价0.780≤peak0.826×(1-3%)
79,515880,通信ETF,2023-02-17,2023-02-27,0.1511,0.1539,1.87,173027.0,10,牛,all,0.155,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
80,510880,红利ETF,2023-02-27,2023-03-14,2.4764,2.4776,0.05,4842.0,15,牛,all,2.528,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
81,588200,科创芯片ETF,2023-03-14,2023-03-27,0.3972,0.4258,7.19,676121.0,13,牛,all,0.441,Trail止损3%,价0.426≤peak0.441×(1-3%)
82,588200,科创芯片ETF,2023-03-27,2023-04-10,0.4262,0.4807,12.79,1289396.0,14,牛,all,0.502,Trail止损3%,价0.481≤peak0.502×(1-3%)
83,588200,科创芯片ETF,2023-04-10,2023-04-13,0.4813,0.4687,-2.6,-295933.0,3,牛,all,0.484,Trail止损3%,价0.469≤peak0.484×(1-3%)
84,588200,科创芯片ETF,2023-04-13,2023-04-21,0.4693,0.4867,3.72,412499.0,8,牛,all,0.516,Trail止损3%,价0.487≤peak0.516×(1-3%)
85,588200,科创芯片ETF,2023-04-21,2023-04-25,0.4873,0.4677,-4.01,-460409.0,4,牛,all,0.487,Trail止损3%,价0.468≤peak0.487×(1-3%)
86,512890,中证红利低波ETF,2023-04-25,2023-05-16,0.9365,0.9465,1.06,117352.0,21,牛,all,1.011,Trail止损6%,价0.947≤peak1.011×(1-6%)
87,510880,红利ETF,2023-05-16,2023-05-18,2.6815,2.6935,0.45,50066.0,2,熊,all,2.695,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0009<0"
88,513100,纳指ETF,2023-05-18,2023-08-01,0.9685,1.1524,18.98,2125238.0,75,熊,all,1.163,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0005<0"
89,513180,恒生科技ETF,2023-08-01,2023-08-11,0.6123,0.5827,-4.84,-645229.0,10,熊,all,0.612,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0015<0"
90,159915,创业板ETF,2023-08-11,2023-08-14,2.1302,2.1118,-0.86,-109102.0,3,熊,all,2.129,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0004<0"
91,511260,十年国债ETF,2023-08-14,2023-08-31,118.8813,119.2284,0.29,36688.0,17,牛,all,119.686,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
92,513100,纳指ETF,2023-08-31,2023-09-14,1.1406,1.1354,-0.46,-58035.0,14,熊,all,1.143,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0004<0"
93,518880,华安黄金ETF,2023-09-14,2023-09-28,4.5945,4.4336,-3.5,-439554.0,14,熊,all,4.594,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0003<0"
94,510880,红利ETF,2023-09-28,2023-10-09,2.6625,2.6545,-0.3,-36034.0,11,熊,def,2.661,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
95,512890,中证红利低波ETF,2023-10-09,2023-10-10,0.9495,0.9355,-1.48,-178443.0,1,熊,def,0.949,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
96,518880,华安黄金ETF,2023-10-20,2023-11-09,4.5995,4.5185,-1.76,-209470.0,20,熊,def,4.62,趋势全空,MA5<MA15且MA8斜率-0.0004<0
97,511260,十年国债ETF,2023-11-09,2023-11-27,119.2836,119.0355,-0.21,-24297.0,18,熊,def,119.355,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
98,159937,博时黄金ETF,2023-12-01,2023-12-13,4.5875,4.5205,-1.46,-170296.0,12,熊,def,4.637,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0006<0"
99,511260,十年国债ETF,2023-12-13,2024-01-19,119.6828,120.8165,0.95,108826.0,37,熊,def,120.884,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
100,511260,十年国债ETF,2024-01-22,2024-03-14,121.0605,122.2277,0.96,111813.0,52,熊,def,123.028,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
101,518880,华安黄金ETF,2024-03-14,2024-04-23,4.8797,5.2291,7.16,838495.0,40,熊,def,5.504,Trail止损3%,价5.232≤peak5.504×(1-3%)
102,510880,红利ETF,2024-04-23,2024-04-26,2.8896,2.8774,-0.42,-52854.0,3,牛,all,2.908,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0003<0"
103,513050,中概互联ETF,2024-04-26,2024-05-23,1.0276,1.0954,6.6,824804.0,27,牛,all,1.149,Trail止损3%,价1.096≤peak1.149×(1-3%)
104,159509,纳指科技ETF,2024-05-23,2024-05-24,1.4808,1.4092,-4.83,-643924.0,1,牛,all,1.48,Trail止损3%,价1.410≤peak1.480×(1-3%)
105,159509,纳指科技ETF,2024-05-24,2024-06-05,1.4108,1.4762,4.64,587714.0,12,牛,all,1.481,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
106,588200,科创芯片ETF,2024-06-05,2024-06-24,0.3102,0.3238,4.4,583744.0,19,牛,all,0.336,Trail止损3%,价0.324≤peak0.336×(1-3%)
107,159509,纳指科技ETF,2024-06-24,2024-06-25,1.6759,1.6181,-3.45,-477658.0,1,牛,all,1.675,Trail止损3%,价1.619≤peak1.675×(1-3%)
108,159509,纳指科技ETF,2024-06-25,2024-07-01,1.6199,1.7161,5.94,793672.0,6,牛,all,1.717,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
109,513100,纳指ETF,2024-07-01,2024-07-19,1.4738,1.4702,-0.25,-34780.0,18,熊,all,1.568,Trail止损6%,价1.471≤peak1.568×(1-6%)
110,159995,芯片ETF,2024-07-19,2024-07-25,0.4653,0.4358,-6.34,-895677.0,6,熊,all,0.465,Trail止损6%,价0.436≤peak0.465×(1-6%)
111,588890,科创AIETF,2024-07-25,2024-07-29,1.0726,1.0604,-1.13,-150180.0,4,熊,all,1.081,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0012<0"
112,511260,十年国债ETF,2024-07-29,2024-08-13,126.0753,125.5029,-0.45,-59392.0,15,熊,all,126.816,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
113,511010,国债ETF,2024-08-13,2024-08-14,134.1928,134.1722,-0.02,-1999.0,1,熊,all,134.246,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
114,159937,博时黄金ETF,2024-08-16,2024-09-03,5.452,5.493,0.75,97873.0,18,熊,def,5.532,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
115,511010,国债ETF,2024-09-03,2024-09-30,134.8731,134.2801,-0.44,-57683.0,27,熊,def,135.507,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0000<0"
116,510050,上证50ETF,2024-09-30,2024-10-09,2.7755,2.6266,-5.37,-701032.0,9,熊,def,2.843,Trail止损6%,价2.628≤peak2.843×(1-6%)
117,510050,上证50ETF,2024-10-09,2024-10-15,2.6294,2.6216,-0.3,-37079.0,6,熊,def,2.717,Trail止损3%,价2.623≤peak2.717×(1-3%)
118,510050,上证50ETF,2024-10-15,2024-10-18,2.6244,2.6585,1.3,160090.0,3,牛,def,2.66,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
119,512480,半导体ETF,2024-10-18,2024-10-23,0.4833,0.4877,0.92,115359.0,5,牛,all,0.504,Trail止损3%,价0.488≤peak0.504×(1-3%)
120,512480,半导体ETF,2024-10-23,2024-11-01,0.4883,0.4717,-3.39,-426461.0,9,牛,all,0.493,Trail止损3%,价0.472≤peak0.493×(1-3%)
121,159995,芯片ETF,2024-11-01,2024-11-04,0.5723,0.5807,1.46,177925.0,3,牛,all,0.581,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0023<0"
122,159937,博时黄金ETF,2024-11-04,2024-11-06,5.9963,5.9857,-0.18,-21811.0,2,牛,all,5.998,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
123,515880,通信ETF,2024-11-06,2024-11-14,0.2361,0.2409,2.01,247349.0,8,牛,all,0.252,Trail止损3%,价0.241≤peak0.252×(1-3%)
124,588890,科创AIETF,2024-11-14,2024-11-15,1.6779,1.5991,-4.7,-590598.0,1,牛,all,1.677,Trail止损3%,价1.600≤peak1.677×(1-3%)
125,588890,科创AIETF,2024-11-15,2024-11-20,1.6009,1.6261,1.58,188846.0,5,牛,all,1.635,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0019<0"
126,513100,纳指ETF,2024-11-20,2024-11-21,1.5218,1.5092,-0.83,-101328.0,1,牛,all,1.521,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
127,511260,十年国债ETF,2024-11-21,2025-01-17,127.6202,131.9804,3.42,412461.0,57,牛,all,132.521,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0002<0"
128,159937,博时黄金ETF,2025-01-17,2025-02-27,6.1324,6.4824,5.71,712689.0,41,牛,all,6.608,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0001<0"
129,588200,科创芯片ETF,2025-02-27,2025-03-03,0.5743,0.5317,-7.42,-979122.0,4,熊,all,0.574,Trail止损6%,价0.532≤peak0.574×(1-6%)
130,588890,科创AIETF,2025-03-03,2025-03-12,1.792,1.879,4.85,593069.0,9,熊,all,1.925,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0018<0"
131,513050,中概互联ETF,2025-03-12,2025-03-20,1.4938,1.5302,2.43,311636.0,8,牛,all,1.595,Trail止损3%,价1.531≤peak1.595×(1-3%)
132,513050,中概互联ETF,2025-03-20,2025-03-25,1.5318,1.4712,-3.96,-519596.0,5,牛,all,1.531,Trail止损3%,价1.472≤peak1.531×(1-3%)
133,159937,博时黄金ETF,2025-03-25,2025-04-28,6.7627,7.4519,10.19,1284414.0,34,牛,all,7.967,Trail止损6%,价7.456≤peak7.967×(1-6%)
134,159937,博时黄金ETF,2025-04-28,2025-05-06,7.4601,7.5928,1.78,247077.0,8,熊,all,7.597,★MA8动能转负,"MA5仍>MA15,MA8斜率-0.0011<0"
135,159992,创新药ETF,2025-05-06,2025-06-19,0.7394,0.7746,4.76,672283.0,44,熊,all,0.837,Trail止损6%,价0.775≤peak0.837×(1-6%)
136,515880,通信ETF,2025-06-19,2025-09-02,0.2271,0.4248,87.02,12885149.0,75,熊,all,0.451,Trail止损3%,价0.425≤peak0.451×(1-3%)
