序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,峰值价,退出类型,触发详情
39,159819,人工智能ETF,2021-07-27,2021-07-28,1.0106,0.9915,-1.89,-253504.0,1,牛,all,1.01,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0002<0 (动能走弱)"
40,512480,半导体ETF,2021-07-28,2021-08-03,0.7074,0.6976,-1.38,-181785.0,6,牛,all,0.771,Trail止损3%,价格0.698≤peak×(1-3%)=0.748
41,512480,半导体ETF,2021-08-03,2021-08-10,0.6984,0.6916,-0.97,-125690.0,7,熊,all,0.726,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0008<0 (动能走弱)"
42,159995,芯片ETF,2021-08-10,2021-08-17,0.8555,0.7956,-7.0,-899935.0,7,熊,all,0.864,Trail止损6%,价格0.796≤peak×(1-6%)=0.812
43,512890,中证红利低波ETF,2021-08-19,2021-09-27,0.7414,0.8185,10.4,1243467.0,39,熊,def,0.887,Trail止损6%,价格0.819≤peak×(1-6%)=0.834
44,510050,上证50ETF,2021-11-22,2021-11-29,2.9976,2.9694,-0.94,-124485.0,7,熊,def,3.021,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0005<0 (动能走弱)"
45,510050,上证50ETF,2021-12-15,2021-12-22,3.0947,3.0313,-2.05,-267628.0,7,牛,def,3.104,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0019<0 (动能走弱)"
46,515050,5G通信ETF,2021-12-29,2022-01-05,0.4132,0.4098,-0.84,-106967.0,7,牛,all,0.426,Trail止损3%,价格0.410≤peak×(1-3%)=0.413
47,515050,5G通信ETF,2022-01-05,2022-01-07,0.4102,0.4028,-1.82,-230467.0,2,牛,all,0.41,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0024<0 (动能走弱)"
48,159819,人工智能ETF,2022-01-07,2022-01-10,0.9845,0.9935,0.91,112832.0,3,牛,all,0.994,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0008<0 (动能走弱)"
49,512890,中证红利低波ETF,2022-01-14,2022-01-24,0.8104,0.8215,1.37,172303.0,10,熊,all,0.835,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0000<0 (动能走弱)"
50,159819,人工智能ETF,2022-01-24,2022-01-27,1.0146,0.9305,-8.29,-1056504.0,3,熊,all,1.014,Trail止损6%,价格0.931≤peak×(1-6%)=0.953
51,159937,博时黄金ETF,2022-01-27,2022-02-07,3.608,3.618,0.28,32493.0,11,熊,def,3.62,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0004<0 (动能走弱)"
52,510880,红利ETF,2022-02-14,2022-03-02,2.3243,2.3817,2.47,289641.0,16,熊,def,2.398,MA6死叉,MA6<MA15 (MA8斜率0.0003仍正)
53,510880,红利ETF,2022-03-08,2022-03-15,2.3063,2.1158,-8.26,-992144.0,7,熊,def,2.314,Trail止损6%,价格2.117≤peak×(1-6%)=2.175
54,518800,黄金ETF,2022-03-15,2022-03-22,4.0302,4.0558,0.63,69892.0,7,熊,def,4.058,趋势全空,MA6<MA15 且 MA8斜率=-0.0051<0
55,510880,红利ETF,2022-03-25,2022-04-19,2.3483,2.4806,5.64,625193.0,25,熊,def,2.536,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0001<0 (动能走弱)"
56,512890,中证红利低波ETF,2022-05-17,2022-05-27,0.8365,0.8445,0.97,113134.0,10,熊,def,0.845,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0006<0 (动能走弱)"
57,510880,红利ETF,2022-06-16,2022-06-23,2.3613,2.3237,-1.59,-188284.0,7,熊,def,2.36,趋势全空,MA6<MA15 且 MA8斜率=-0.0037<0
58,510050,上证50ETF,2022-07-06,2022-07-11,2.8015,2.7485,-1.89,-220489.0,5,牛,def,2.8,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0003<0 (动能走弱)"
59,510880,红利ETF,2022-07-11,2022-07-12,2.3543,2.3747,0.87,98975.0,1,牛,def,2.376,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0002<0 (动能走弱)"
60,512890,中证红利低波ETF,2022-09-16,2022-09-23,0.8615,0.8515,-1.15,-132972.0,7,熊,def,0.864,趋势全空,MA6<MA15 且 MA8斜率=-0.0037<0
